OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GRID_ID,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,CRMCYBURG,CRMCYTOTC,TOTPOP_CY,UNEMPRT_CY_I,HISPPOP_CY_P,MEDHINC_CY_I,ACSVET_P,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,ACSHHDIS_P,ACSPUBAI_P,ACSGRNTI50_P,ACSEDNOSCH_P,ACS35NOHI_P,ACSVET_P_1,ACSHSGRAD_P,ACSHHPBLPV_P,X14068_X_I,X14068FY_X_I,source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen,hex_area_sqkm,climate_t2m_2024_c,climate_tmax_2024_c,climate_ppt_2024_mm,tent_ref_point_count,tent_ref_prediction_sum,tent_ref_max_conf,tent_ref_mean_conf,transit_stops_count,hospital_count,fire_station_count,library_count,college_count,public_school_count,private_school_count,recreation_center_count,adult_recreation_count,cool_zone_count,affordable_housing_count,sud_treatment_count,business_sites_count,gas_station_count,police_station_count,food_access_count,lausd_school_site_count,osm_major_road_segments_count,osm_major_road_length_m,nearest_osm_major_road_m,freeway_segments_count,freeway_length_m,nearest_freeway_m,river_drainage_segments_count,river_drainage_length_m,nearest_river_drainage_m,osm_amenity_count,caltrans_highway_segments_count,caltrans_highway_length_m,nearest_caltrans_highway_m,fema_flood_hazard_area_pct,fema_flood_hazard_intersects,la_geohub_100yr_flood_area_pct,la_geohub_100yr_flood_intersects,la_geohub_500yr_flood_area_pct,la_geohub_500yr_flood_intersects,la_geohub_fire_hazard_area_pct,la_geohub_fire_hazard_intersects,heat_exposure_area_pct,heat_exposure_intersects,tree_canopy_proxy_pct,vegetation_proxy_pct,impervious_proxy_pct,water_proxy_pct,bare_ground_proxy_pct,dominant_landcover_class,heat_exposure_proxy_score
1,0,1,-1,I-10,0,US,411,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,89,85,8099,45,49.92,118,2.89,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,23.57,2.12,25.67,5.37,4.36,1.96,14.08,9.85,104,106,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,57,0,0,0,0,1,1,0,0,0,0,2,751,747,0,0,2,43,3904.06,128.42,0,0.0,3741.23,1,1497.94,125.49,9,0,0.0,3769.86,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.7,20.34,52.62,6.47,20.58,5,66.02
589,1,309,1658,Z-29,29,US,72,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,187,179,14481,229,74.03,59,1.48,8,US,180,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,40.91,9.19,40.35,5.77,7.3,1.46,26.51,30.99,60,61,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,33.95735867,-118.28023932,"88TH ST AT GRAND AVE, 90003",0.0,33.9573586719_-118.280239321_0.jpg,1.0,0.8472,tent,1.9425,17.47,29.74,16.36,0,0,,,84,0,0,0,0,2,2,0,0,0,0,2,856,749,0,0,7,107,10495.69,212.69,76,8212.6,212.69,0,0.0,1900.85,11,2,3013.4,222.67,0.11,1,0.0,0,0.11,1,100.0,1,0.0,0,0.47,12.09,67.51,0.94,19.46,5,77.12
590,1,310,1157,P-4,30,US,519,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,115,131,3932,129,86.5,117,1.94,9,US,181,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.67,3.46,43.48,7.26,2.8,0.87,26.28,18.34,112,117,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,34.293564,-118.41340253,"ARROYO ST AT FOOTHILL FRWY, 91342",0.0,34.2935640039_-118.413402533_0.jpg,1.0,0.6784,tent,1.9425,17.47,29.74,16.36,0,0,,,22,0,0,0,0,6,0,0,0,0,0,0,373,344,0,0,7,68,6345.22,273.6,27,3792.81,393.66,7,2555.83,207.91,5,2,2587.84,394.41,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.29,12.51,66.45,3.29,17.74,5,76.13
591,1,311,277,AA-29,31,US,73,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,193,159,13296,179,75.36,88,0.98,10,US,182,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.25,8.95,43.22,5.73,8.99,1.11,27.47,17.88,74,76,api_test_workflow_v2_30pct_model6_2026-05-08,33.94886704,-118.26535783,"9611 S AVALON BLVD, 90003",180.0,33.9488670425_-118.265357827_180.jpg,1.0,0.6768,tent,1.9425,17.47,29.74,16.36,0,0,,,68,0,0,0,0,2,0,0,0,0,0,0,560,472,0,1,5,0,0.0,861.61,0,0.0,1375.77,0,0.0,1117.64,7,0,0.0,1397.45,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.71,18.35,59.29,1.06,21.3,5,70.99
592,1,311,577,AA-29,31,US,73,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,193,159,13296,179,75.36,88,0.98,10,US,182,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.25,8.95,43.22,5.73,8.99,1.11,27.47,17.88,74,76,api_test_workflow_v2_20pct_model6_2026-05-07_batch2,33.95367029,-118.26872895,"320 E 91ST ST, 90003",180.0,33.9536702885_-118.268728946_180.jpg,1.0,0.6014,tent,1.9425,17.47,29.74,16.36,0,0,,,68,0,0,0,0,2,0,0,0,0,0,0,560,472,0,1,5,0,0.0,861.61,0,0.0,1375.77,0,0.0,1117.64,7,0,0.0,1397.45,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.71,18.35,59.29,1.06,21.3,5,70.99
593,1,311,733,AA-29,31,US,73,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,193,159,13296,179,75.36,88,0.98,10,US,182,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.25,8.95,43.22,5.73,8.99,1.11,27.47,17.88,74,76,api_test_workflow_v2_30pct_model6_2026-05-08,33.95069981,-118.26501356,"9410 S AVALON BLVD, 90003",270.0,33.9506998108_-118.265013562_270.jpg,1.0,0.8066,tent,1.9425,17.47,29.74,16.36,0,0,,,68,0,0,0,0,2,0,0,0,0,0,0,560,472,0,1,5,0,0.0,861.61,0,0.0,1375.77,0,0.0,1117.64,7,0,0.0,1397.45,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.71,18.35,59.29,1.06,21.3,5,70.99
594,1,311,1348,AA-29,31,US,73,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,193,159,13296,179,75.36,88,0.98,10,US,182,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.25,8.95,43.22,5.73,8.99,1.11,27.47,17.88,74,76,api_test_workflow_v2_remaining_model6_2026-05-08,33.94822694,-118.26443096,"620 E 97TH ST, 90002",270.0,33.9482269383_-118.264430964_270.jpg,1.0,0.651,tent,1.9425,17.47,29.74,16.36,0,0,,,68,0,0,0,0,2,0,0,0,0,0,0,560,472,0,1,5,0,0.0,861.61,0,0.0,1375.77,0,0.0,1117.64,7,0,0.0,1397.45,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.71,18.35,59.29,1.06,21.3,5,70.99
595,1,312,796,Q-4,32,US,520,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,86,85,4333,107,79.46,102,2.25,11,US,183,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.31,4.34,30.57,6.13,3.34,1.79,26.78,11.85,101,107,api_test_workflow_v2_30pct_model6_2026-05-08,34.28364491,-118.40739509,"11814 N BROMONT AVE, 91331",180.0,34.2836449075_-118.407395094_180.jpg,1.0,0.6665,tent,1.9425,17.47,29.74,16.36,0,0,,,30,0,0,0,0,1,0,0,0,0,0,0,311,307,0,0,3,67,11585.55,22.68,51,9834.12,22.68,11,1431.1,257.25,0,4,5613.66,23.91,0.89,1,0.0,0,0.07,1,100.0,1,0.0,0,3.01,33.35,42.77,2.02,21.85,5,59.04
596,1,312,1553,Q-4,32,US,520,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,86,85,4333,107,79.46,102,2.25,11,US,183,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,37.31,4.34,30.57,6.13,3.34,1.79,26.78,11.85,101,107,api_test_workflow_v8_remaining_location_deduped_10pct_2026-05-22,34.28440108,-118.40853986,"BROMONT AVE AT MONTFORD ST, 91331",270.0,34.284401084_-118.408539861_270.jpg,1.0,0.7281,tent,1.9425,17.47,29.74,16.36,0,0,,,30,0,0,0,0,1,0,0,0,0,0,0,311,307,0,0,3,67,11585.55,22.68,51,9834.12,22.68,11,1431.1,257.25,0,4,5613.66,23.91,0.89,1,0.0,0,0.07,1,100.0,1,0.0,0,3.01,33.35,42.77,2.02,21.85,5,59.04
597,1,313,1178,AB-29,33,US,74,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,225,179,14415,221,82.41,72,0.33,12,US,184,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,31.27,11.62,36.85,7.73,6.84,0.31,23.03,20.78,67,68,api_test_workflow_v8_remaining_location_deduped_final_after10_30_2026-05-23,33.95661973,-118.25823823,"911 E 88TH PL, 90002",270.0,33.9566197253_-118.258238235_270.jpg,1.0,0.8714,tent,1.9425,17.47,29.74,16.36,0,0,,,81,0,0,0,0,2,0,1,0,0,0,0,433,362,0,1,11,51,3140.1,515.23,0,0.0,2738.33,0,0.0,2069.85,8,0,0.0,2784.59,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.36,17.58,63.83,0.77,17.82,5,73.97
598,0,314,-1,R-4,34,US,521,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,44,27,456,86,77.63,117,0.47,13,US,185,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,43.85,3.85,36.36,3.94,4.17,0.23,28.73,12.15,108,114,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,1500.0,0,0.0,1500.0,2,1110.68,719.22,0,0,0.0,1500.77,0.0,0,0.0,0,0.0,0,96.19,1,0.0,0,4.88,62.34,6.52,1.06,30.08,3,33.1
599,1,315,850,AC-29,35,US,75,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,204,200,13475,219,76.73,55,0.72,14,US,186,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,43.59,14.89,28.44,8.43,4.9,0.71,20.81,28.1,63,64,api_test_workflow_v2_10pct_model6_2026-05-06_live,33.94624912,-118.23958499,"9910 S BANDERA ST, 90002",90.0,33.9462491233_-118.23958499_90.jpg,1.0,0.913,tent,1.9425,17.47,29.74,16.36,0,0,,,24,0,1,0,0,4,0,1,0,0,0,1,381,359,0,1,7,6,904.79,648.49,0,0.0,2189.77,0,0.0,2213.88,6,0,0.0,2253.44,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,0.46,10.86,66.55,2.44,20.15,5,76.45
600,0,316,-1,S-4,36,US,522,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,70,45,1623,205,40.11,128,4.93,15,US,187,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,24.25,1.79,3.45,2.44,2.34,3.45,17.77,1.52,99,101,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,86,84,0,0,0,0,0.0,1148.82,0,0.0,1267.75,12,3782.04,141.57,0,0,0.0,1308.01,11.63,1,0.48,1,0.39,1,100.0,1,0.0,0,8.21,67.61,10.06,1.97,20.36,3,34.58
601,0,317,-1,M-28,37,US,76,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,72,130,422,90,9.0,223,1.51,16,US,188,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,9.86,2.11,17.11,2.63,2.78,1.47,4.51,5.23,210,202,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,6,0,0,0,0,0,0,0,0,0,0,0,146,173,0,0,0,0,0.0,1186.19,0,0.0,2799.79,3,976.3,290.83,1,0,0.0,2834.66,41.84,1,0.0,0,9.25,1,17.65,1,0.0,0,0.18,3.05,19.93,44.52,32.5,6,43.9
602,1,318,125,W-4,38,US,523,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0,0,0,0,0.0,0,0.0,17,US,189,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,api_test_workflow_v2_remaining_model6_2026-05-08,34.2803231,-118.3160613,"11540 N DOANE CANYON ROAD, 91040",90.0,34.2803231025_-118.316061296_90.jpg,1.0,0.6277,tent,1.9425,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2252.02,0,0.0,2592.22,8,5776.65,82.95,0,0,0.0,2588.71,0.0,0,0.0,0,0.0,0,22.95,1,0.0,0,4.45,82.31,2.2,1.45,14.05,3,30.2
603,0,319,-1,N-28,39,US,77,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,72,175,3641,117,11.81,177,1.67,18,US,190,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,9.23,0.69,25.8,0.39,0.48,2.81,4.85,1.34,136,132,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,6,0,0,0,0,0,0,1,1,0,0,0,124,124,0,0,0,10,1332.07,615.92,0,0.0,1336.93,25,5110.26,197.54,3,0,0.0,1398.47,64.87,1,7.1,1,34.82,1,73.53,1,0.0,0,1.89,35.16,22.01,27.08,15.75,3,44.84
604,1,320,479,L-3,40,US,524,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,152,191,3512,50,82.09,105,3.9,19,US,191,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,34.09,1.76,42.59,8.5,4.61,5.72,18.79,10.17,100,107,api_test_workflow_v2_20pct_model6_2026-05-07,34.30774117,-118.47077797,"13071 N SAN FERNANDO ROAD, 91342",90.0,34.3077411668_-118.470777974_90.jpg,1.0,0.8949,tent,1.9425,17.47,29.74,16.36,0,0,,,6,0,0,0,0,0,0,0,0,0,0,0,330,328,0,0,0,79,8763.53,135.78,41,5783.46,452.55,10,2092.47,292.8,3,2,2214.0,545.88,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.25,21.58,53.49,3.17,21.75,5,66.77
605,0,321,-1,O-28,41,US,78,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,83,118,7073,93,16.15,151,2.76,20,US,192,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,12.96,1.99,22.22,0.11,1.71,2.87,4.4,6.63,155,154,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,15,0,0,0,0,2,1,0,0,0,0,0,604,591,0,0,9,10,899.76,705.08,10,899.76,705.08,8,1104.05,455.66,6,2,902.49,705.09,18.43,1,0.0,0,18.5,1,100.0,1,0.0,0,3.83,39.58,36.68,2.38,21.36,5,54.53
606,0,322,-1,P-28,42,US,79,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,49,128,9392,98,16.13,233,1.49,21,US,193,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,10.84,4.91,26.9,0.35,0.28,1.7,3.9,9.47,185,180,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,1,0,0,0,1,1,0,0,0,0,0,0,552,590,0,0,1,15,1363.73,640.53,11,870.65,640.53,8,1721.58,326.47,16,2,1145.19,643.72,23.87,1,0.0,0,23.95,1,100.0,1,0.0,0,5.78,29.78,45.4,2.3,22.52,5,60.05
607,1,323,504,M-3,43,US,525,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,131,118,7502,112,85.04,107,3.48,22,US,194,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,23.46,8.36,31.15,6.44,5.81,3.28,23.49,18.31,94,98,api_test_workflow_v2_20pct_model6_2026-05-07_batch2,34.30064586,-118.45998692,"15030 W OSWALD ST, 91342",90.0,34.3006458634_-118.459986924_90.jpg,1.0,0.8418,tent,1.9425,17.47,29.74,16.36,0,0,,,15,0,0,0,0,1,0,0,0,0,0,0,479,460,0,0,1,32,2206.56,60.4,0,0.0,1016.74,7,2539.81,97.47,5,0,0.0,1077.55,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.23,23.14,57.9,2.52,16.44,5,69.86
608,1,323,945,M-3,43,US,525,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,131,118,7502,112,85.04,107,3.48,22,US,194,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,23.46,8.36,31.15,6.44,5.81,3.28,23.49,18.31,94,98,api_test_workflow_v2_20pct_model6_2026-05-07_batch2,34.30088235,-118.46023874,"15031 W OSWALD ST, 91342",180.0,34.3008823548_-118.460238735_180.jpg,1.0,0.9059,tent,1.9425,17.47,29.74,16.36,0,0,,,15,0,0,0,0,1,0,0,0,0,0,0,479,460,0,0,1,32,2206.56,60.4,0,0.0,1016.74,7,2539.81,97.47,5,0,0.0,1077.55,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.23,23.14,57.9,2.52,16.44,5,69.86
609,0,324,-1,Q-28,44,US,80,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,99,110,5516,43,18.17,188,3.72,23,US,195,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,20.61,0.41,45.05,0.71,0.14,3.72,3.37,9.37,166,164,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,6,0,1,0,0,3,1,0,0,0,0,0,508,477,0,0,5,13,616.45,769.89,0,0.0,961.03,0,0.0,1035.16,2,0,0.0,995.51,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.78,27.67,51.04,1.33,19.95,5,64.89
610,0,325,-1,N-3,45,US,526,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,126,110,6157,93,90.22,106,1.89,24,US,196,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,39.6,3.65,22.28,10.81,6.89,2.78,21.8,8.91,96,101,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,24,0,1,1,0,5,1,1,0,0,0,0,412,384,0,0,9,9,1476.77,266.53,0,0.0,1215.85,2,111.65,742.79,9,0,0.0,1234.06,0.0,0,0.05,1,0.0,0,100.0,1,0.0,0,2.77,25.84,43.47,5.26,25.43,5,59.6
611,0,326,-1,R-28,46,US,81,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,67,71,4828,140,19.97,204,2.38,25,US,197,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,16.84,2.71,21.85,0.05,0.78,2.45,9.61,3.99,177,178,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,21,0,0,0,0,0,3,1,1,0,0,1,527,493,0,0,1,62,3998.93,456.26,9,565.62,654.23,0,0.0,921.66,1,0,0.0,870.3,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.89,24.19,48.2,1.77,25.84,5,63.17
612,0,327,-1,O-3,47,US,527,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,63,48,9942,57,87.7,135,2.67,26,US,198,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,30.97,5.01,37.36,6.23,4.3,2.16,23.76,11.17,119,124,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,32,0,0,0,0,1,1,0,0,0,0,2,344,325,0,0,2,2,410.32,750.13,0,0.0,857.45,1,1398.44,348.18,12,0,0.0,862.61,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.06,21.29,49.06,4.76,24.88,5,63.72
613,0,328,-1,P-3,48,US,528,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,79,85,5392,107,77.15,140,4.82,27,US,199,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,29.18,2.92,42.46,8.9,4.65,4.05,25.27,13.03,117,120,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,10,0,0,0,0,1,1,0,0,0,0,0,284,272,0,0,1,14,3760.09,576.96,12,3160.3,576.96,0,0.0,870.46,3,2,2140.93,574.57,0.0,0,0.0,0,0.0,0,94.17,1,0.0,0,2.95,32.06,37.9,2.89,27.15,5,55.64
614,1,329,1337,S-28,49,US,82,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,91,105,2907,88,28.93,180,9.12,28,US,200,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,20.72,0.51,30.92,0.59,0.8,7.62,13.91,4.87,157,157,api_test_workflow_v2_remaining_model6_2026-05-08,33.96303769,-118.37891131,"8333 S OSAGE AVE, 90045",180.0,33.9630376896_-118.378911312_180.jpg,1.0,0.6039,tent,1.9425,17.47,29.74,16.36,0,0,,,37,0,0,0,1,0,1,0,0,0,0,0,452,431,0,0,1,90,10422.07,265.66,31,7047.48,595.2,1,67.54,817.97,15,2,2335.66,613.19,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,1.91,16.88,66.53,1.45,15.14,5,76.0
615,0,330,-1,Q-3,0,US,529,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,40,85,259,95,47.88,153,7.14,29,US,201,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,28.36,1.49,0.0,0.66,6.38,5.92,33.55,13.11,110,111,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,22,19,0,0,0,0,0.0,1043.6,0,0.0,1043.6,15,2649.34,482.75,0,0,0.0,1050.65,0.79,1,0.0,0,0.17,1,91.59,1,0.0,0,8.23,63.98,15.1,1.53,19.39,3,38.1
616,0,331,-1,T-28,1,US,83,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,96,120,14678,179,39.48,76,6.39,30,US,202,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,32.65,4.5,29.82,3.09,5.87,5.24,14.69,16.47,71,72,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,18,0,1,0,0,4,1,0,1,0,0,1,233,227,0,2,0,35,1915.12,528.01,3,88.8,725.14,1,126.62,762.22,1,0,0.0,810.8,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,0.71,12.26,69.34,1.0,17.39,5,78.32
617,1,332,231,K-2,2,US,530,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,102,92,580,436,73.28,126,3.56,31,US,203,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,28.04,2.8,35.29,3.3,7.14,2.25,30.18,11.5,88,92,api_test_workflow_v2_30pct_model6_2026-05-08,34.31920422,-118.48414143,"16211 W FILBERT ST, 91342",270.0,34.3192042159_-118.484141427_270.jpg,1.0,0.8249,tent,1.9425,17.47,29.74,16.36,0,0,,,2,0,0,0,0,1,0,0,0,0,0,0,23,20,0,0,0,67,15434.4,18.07,55,12964.89,18.07,26,5332.38,267.51,0,8,6027.94,55.68,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.14,23.41,40.92,1.91,33.76,5,58.0
618,1,332,411,K-2,2,US,530,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,102,92,580,436,73.28,126,3.56,31,US,203,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,28.04,2.8,35.29,3.3,7.14,2.25,30.18,11.5,88,92,api_test_workflow_v2_20pct_model6_2026-05-07,34.31908813,-118.48421251,"16225 W FILBERT ST, 91342",0.0,34.31908813_-118.484212514_0.jpg,1.0,0.7619,tent,1.9425,17.47,29.74,16.36,0,0,,,2,0,0,0,0,1,0,0,0,0,0,0,23,20,0,0,0,67,15434.4,18.07,55,12964.89,18.07,26,5332.38,267.51,0,8,6027.94,55.68,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.14,23.41,40.92,1.91,33.76,5,58.0
619,1,332,412,K-2,2,US,530,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,102,92,580,436,73.28,126,3.56,31,US,203,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,28.04,2.8,35.29,3.3,7.14,2.25,30.18,11.5,88,92,api_test_workflow_v2_20pct_model6_2026-05-07,34.31908813,-118.48421251,"16225 W FILBERT ST, 91342",270.0,34.31908813_-118.484212514_270.jpg,2.0,0.9352,tent,1.9425,17.47,29.74,16.36,0,0,,,2,0,0,0,0,1,0,0,0,0,0,0,23,20,0,0,0,67,15434.4,18.07,55,12964.89,18.07,26,5332.38,267.51,0,8,6027.94,55.68,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.14,23.41,40.92,1.91,33.76,5,58.0
620,1,332,1514,K-2,2,US,530,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,102,92,580,436,73.28,126,3.56,31,US,203,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,28.04,2.8,35.29,3.3,7.14,2.25,30.18,11.5,88,92,api_test_workflow_v8_remaining_location_deduped_30pct_after10_2026-05-22,34.31834294,-118.48465773,"16230 W FILBERT ST, 91342",270.0,34.3183429393_-118.484657727_270.jpg,1.0,0.6637,tent,1.9425,17.47,29.74,16.36,0,0,,,2,0,0,0,0,1,0,0,0,0,0,0,23,20,0,0,0,67,15434.4,18.07,55,12964.89,18.07,26,5332.38,267.51,0,8,6027.94,55.68,0.0,0,0.0,0,0.0,0,100.0,1,0.0,0,2.14,23.41,40.92,1.91,33.76,5,58.0
621,0,333,-1,V-28,3,US,84,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,120,104,4706,183,26.22,75,6.4,32,US,204,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,32.17,5.53,33.48,1.49,2.1,5.21,23.83,16.07,76,79,,,,,,,,,,1.9425,17.47,29.74,16.36,0,0,,,48,0,0,0,0,0,0,0,0,0,0,0,284,261,0,1,0,66,3287.84,328.94,0,0.0,3246.38,0,0.0,2060.66,1,0,0.0,3318.49,1.73,1,0.0,0,0.37,1,100.0,1,0.0,0,3.07,40.94,39.41,0.47,19.17,5,56.67
